unique_id,mean,std,cv,zero_pct,trend,ramp_up,second_half_mean,train_start,active_weeks,bucket,history_length,recent_mean,recent_zero_pct
CA-SC-10-F-31-GR-1TO,5.708333333333333,2.4913043214794577,0.4364328738358174,0.0,0.08673469387755096,True,4.964285714285714,2025-09-08,47,smooth,short,8.0,0.0
CA-SC-10-F-31-RD-1TO,0.1981981981981982,0.4806118439044735,2.424905212427116,0.8378378378378378,0.007055107055107056,False,0.39285714285714285,2024-06-24,110,intermittent,full,0.46153846153846156,0.6153846153846154
CA-SC-10-F-31-WH-1TO,0.10810810810810811,0.4522486629913922,4.183300132670378,0.9369369369369369,0.0037030537030537033,False,0.21428571428571427,2024-06-24,110,intermittent,full,0.07692307692307693,0.9230769230769231
CA-SC-10-F-31-WR-1TO,0.38738738738738737,0.7730968631684659,1.9956686467837144,0.7297297297297297,0.012478062478062478,False,0.7678571428571429,2024-06-24,110,intermittent,full,0.7692307692307693,0.3076923076923077
CA-SC-10-F-32-BK-1TO,0.02702702702702703,0.16216216216216223,6.000000000000002,0.972972972972973,0.0009477009477009478,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-SC-10-F-34-BE-1TO,1.2252252252252251,1.7588114572251314,1.435500527588159,0.5045045045045045,0.03813618813618813,False,2.3392857142857144,2025-05-05,66,smooth,medium,3.076923076923077,0.0
CA-SC-10-F-34-BK-1TO,3.232142857142857,2.251912452533968,0.696724294706642,0.125,0.05683526999316473,True,3.232142857142857,2025-07-14,55,smooth,medium,4.461538461538462,0.0
CA-SC-10-F-34-BR-1TO,0.42342342342342343,0.8003326960184796,1.8901474310223667,0.7117117117117117,0.01233766233766234,False,0.8392857142857143,2024-06-24,110,intermittent,full,1.1538461538461537,0.38461538461538464
CA-SC-10-F-34-DB-1TO,0.34234234234234234,0.6643495158409592,1.9405999015354336,0.7477477477477478,0.00960863460863461,False,0.6607142857142857,2024-06-24,110,intermittent,full,0.6923076923076923,0.46153846153846156
CA-SC-10-F-34-DG-1TO,3.0754716981132075,2.007993991983171,0.6529060219331784,0.09433962264150944,0.0459603289791969,True,2.9464285714285716,2025-08-04,52,smooth,medium,3.1538461538461537,0.15384615384615385
